subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
27,0.698524,0.136235,7215,6,4
11,0.541218,0.057582,7510,6,5
10,0.528039,0.050992,8058,6,5
7,0.499140,0.036542,8106,6,5
15,0.576286,0.075116,8257,6,5
15,0.581642,0.077794,7725,2,3
15,0.579408,0.076677,7151,4,4
10,0.530894,0.052420,6948,6,5
15,0.574363,0.074154,7555,6,5
21,0.639637,0.106791,8100,4,4
31,0.741491,0.157718,8629,5,4
8,0.503584,0.038764,8361,4,4
9,0.518492,0.046219,8701,4,4
14,0.570592,0.072269,8926,5,4
16,0.587575,0.080760,8738,4,4
13,0.553191,0.063568,8577,4,4
10,0.523808,0.048877,8577,5,4
14,0.565753,0.069849,8849,5,4
11,0.534880,0.054413,8907,5,4
15,0.573741,0.073843,8904,5,4
21,0.636792,0.105369,9124,5,4
11,0.532857,0.053401,9368,5,4
14,0.565629,0.069787,9452,4,4
11,0.533679,0.053812,9508,5,4
17,0.600872,0.087409,9359,5,4
15,0.578218,0.076081,9813,4,4
12,0.544114,0.059029,9863,5,4
12,0.551808,0.062877,9578,5,4
13,0.561484,0.067715,9491,5,4
22,0.645176,0.109561,9717,4,4
17,0.595662,0.084804,9920,4,4
14,0.572853,0.073399,9929,4,4
7,0.496945,0.035445,9749,5,4
10,0.530908,0.052426,9953,2,3
14,0.566912,0.070428,10112,4,4
17,0.600129,0.087037,9812,5,4
7,0.501381,0.037663,9732,4,4
22,0.651316,0.112631,9838,5,4
9,0.514387,0.044166,9901,5,4
15,0.582851,0.078398,10201,4,4
14,0.568632,0.071289,9938,5,4
13,0.560171,0.067058,10208,5,4
5,0.472979,0.023462,9774,4,4
13,0.558684,0.066315,10442,4,4
16,0.589836,0.081891,10478,4,4
20,0.629934,0.101940,10387,5,4
10,0.526297,0.050121,10218,5,4
17,0.595484,0.084715,10430,4,4
8,0.506051,0.039998,9943,5,4
21,0.642061,0.108003,10383,5,4
10,0.529245,0.051595,10465,5,4
13,0.552929,0.063437,10591,5,4
8,0.507746,0.040846,10347,5,4
14,0.570217,0.072081,10581,6,5
12,0.547479,0.060712,10599,4,4
10,0.524992,0.049469,10571,6,4
9,0.521061,0.047503,10596,6,5
11,0.538945,0.056445,10550,4,4
16,0.589805,0.081875,10560,6,4
13,0.557577,0.065761,10650,6,4
11,0.536911,0.055428,10782,2,3
13,0.558517,0.066231,10704,6,4
17,0.597419,0.085682,10779,6,5
15,0.581436,0.077690,10684,6,4
17,0.603098,0.088522,11101,4,4
14,0.565202,0.069574,10713,6,5
11,0.542306,0.058126,10724,6,4
18,0.607909,0.090927,11035,6,5
24,0.671626,0.122786,11144,6,5
18,0.612976,0.093461,11305,5,4
9,0.515636,0.044791,10798,5,4
8,0.507204,0.040574,10594,5,4
24,0.672428,0.123187,11174,5,4
22,0.653739,0.113842,10993,4,4
17,0.597739,0.085842,10557,5,4
9,0.516388,0.045167,10357,4,4
11,0.541562,0.057754,10462,4,4
10,0.525256,0.049601,10595,5,4
25,0.678578,0.126262,10113,5,4
19,0.618638,0.096291,9713,4,4
9,0.520876,0.047410,9612,5,4
13,0.560821,0.067383,9753,5,4
12,0.545528,0.059737,9953,4,4
17,0.596743,0.085344,9755,5,4
17,0.595052,0.084499,9360,5,4
8,0.511820,0.042882,9048,5,4
19,0.615427,0.094686,9684,4,4
20,0.625770,0.099858,9238,4,4
19,0.617499,0.095722,8764,4,3
16,0.591540,0.082743,8683,4,3
9,0.512341,0.043143,8364,4,3
15,0.573865,0.073905,9081,4,3
23,0.658755,0.116350,9232,4,3
17,0.594976,0.084461,8700,4,4
10,0.527587,0.050766,8303,4,4
10,0.527228,0.050586,8532,4,4
21,0.635792,0.104869,9079,4,4
51,1.145296,0.359621,13929,4,4
15,0.578210,0.076077,8601,5,4
9,0.513553,0.043749,8569,2,3
7,0.500825,0.037385,8512,5,4
16,0.589372,0.081659,8991,4,4
14,0.567119,0.070532,9436,4,4
17,0.601380,0.087663,9041,2,3
14,0.567568,0.070757,8828,4,4
26,0.687463,0.130704,13144,4,4
27,0.698905,0.136425,10503,4,4
46,1.054745,0.314345,13458,4,4
16,0.591120,0.082532,8989,4,3
12,0.549340,0.061643,8747,4,3
14,0.563862,0.068904,8842,4,4
21,0.640071,0.107008,8888,4,3
34,0.771671,0.172808,12123,4,3
11,0.534796,0.054371,8812,4,4
10,0.530869,0.052407,8659,4,4
33,0.759882,0.166913,10656,5,4
30,0.727237,0.150591,12284,5,4
32,0.751780,0.162862,11545,4,4
20,0.627125,0.100535,8186,5,4
13,0.561225,0.067585,8234,5,4
14,0.568619,0.071282,8355,4,3
18,0.604431,0.089188,8686,4,4
27,0.696156,0.135051,9757,4,3
13,0.556652,0.065299,8754,4,3
12,0.548969,0.061457,8857,4,3
22,0.645241,0.109593,8945,4,4
22,0.652212,0.113079,8950,4,4
20,0.627376,0.100660,9015,4,4
19,0.620314,0.097130,8281,4,3
13,0.554001,0.063973,8432,4,4
14,0.565234,0.069590,8704,4,4
26,0.687705,0.130825,12587,4,4
42,0.849152,0.211549,12922,4,4
14,0.565410,0.069678,8783,4,3
11,0.541031,0.057488,8530,4,4
29,0.721896,0.147921,10968,4,4
21,0.638550,0.106248,8801,2,3
20,0.632834,0.103390,8438,4,4
12,0.550024,0.061985,8059,4,4
15,0.580188,0.077067,8086,4,4
13,0.555300,0.064623,8259,4,4
19,0.620547,0.097246,8835,4,4
32,0.754247,0.164096,11638,4,4
11,0.534348,0.054147,8365,4,3
10,0.526618,0.050282,8343,4,3
12,0.551990,0.062968,8721,4,4
10,0.531779,0.052862,9291,4,3
20,0.628261,0.101103,9107,4,3
28,0.711737,0.142841,11334,4,3
26,0.686057,0.130001,8985,4,3
30,0.733152,0.153549,10115,4,3
23,0.655692,0.114819,9948,4,4
35,0.782285,0.178115,11920,4,3
20,0.631786,0.102866,9508,4,4
28,0.706315,0.140130,11129,4,4
21,0.634063,0.104004,9651,4,4
23,0.657768,0.115857,9746,4,3
22,0.649047,0.111496,9785,4,4
27,0.702980,0.138462,10682,5,4
17,0.595621,0.084783,9610,4,4
12,0.545186,0.059566,9598,5,4
13,0.552791,0.063368,10233,5,4
13,0.555897,0.064921,9957,5,4
15,0.573289,0.073617,9680,4,4
10,0.531791,0.052868,9252,4,3
12,0.552317,0.063131,9718,4,3
26,0.685034,0.129490,11626,4,3
26,0.684397,0.129171,10307,4,4
15,0.579882,0.076914,9030,4,4
9,0.515908,0.044927,8823,4,3
10,0.532085,0.053015,9330,4,3
28,0.708138,0.141042,11157,4,4
18,0.610129,0.092037,10021,4,4
10,0.523099,0.048522,9612,4,4
7,0.497805,0.035875,9419,4,4
16,0.586712,0.080329,10392,4,3
38,0.807623,0.190784,13091,4,4
24,0.665696,0.119821,10657,4,3
11,0.533201,0.053573,10593,4,4
14,0.565849,0.069897,10426,4,4
14,0.568427,0.071186,10551,4,4
