subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
1,0.032967,0.003028,5286,6,5
1,0.033161,0.003125,5308,4,4
1,0.033210,0.003150,5255,8,6
1,0.033481,0.003285,5456,4,4
1,0.033280,0.003185,5039,4,4
1,0.034074,0.003582,5262,8,5
1,0.034691,0.003891,5216,4,4
1,0.033391,0.003241,5252,6,5
1,0.033330,0.003210,5331,8,5
1,0.033366,0.003228,5213,8,5
1,0.034237,0.003664,5195,6,5
2,0.048537,0.010813,5850,4,4
2,0.043169,0.008129,5487,4,4
1,0.033166,0.003128,5609,7,5
1,0.033162,0.003126,5718,8,5
1,0.033108,0.003099,5637,6,5
1,0.033084,0.003087,5544,4,4
1,0.032909,0.003000,5441,5,4
1,0.033271,0.003180,5740,6,5
1,0.032912,0.003001,5657,4,4
1,0.033050,0.003070,5693,7,5
1,0.033117,0.003104,5646,7,5
1,0.033174,0.003132,5435,8,6
1,0.033301,0.003195,5643,6,5
1,0.033331,0.003211,5482,4,4
1,0.033278,0.003184,5601,4,4
1,0.033233,0.003162,5752,6,5
1,0.033221,0.003155,5719,7,5
1,0.033167,0.003128,5597,6,5
1,0.033169,0.003130,5461,6,5
1,0.033137,0.003114,5717,6,5
1,0.033054,0.003072,5630,6,5
1,0.033176,0.003133,5704,6,5
1,0.033115,0.003102,5538,6,5
1,0.032952,0.003021,5464,4,4
1,0.032926,0.003008,5624,4,4
1,0.033051,0.003070,5449,6,5
1,0.033019,0.003055,5627,2,3
1,0.033207,0.003149,5704,6,5
1,0.033183,0.003137,5668,4,4
1,0.033136,0.003113,5682,15,9
1,0.033085,0.003087,5524,4,4
1,0.033141,0.003116,5714,6,5
1,0.033264,0.003177,5654,2,3
1,0.033249,0.003170,5637,2,3
1,0.033289,0.003190,5634,6,5
1,0.033264,0.003177,5454,8,6
1,0.033062,0.003076,5603,2,3
1,0.033082,0.003086,5502,4,4
1,0.033100,0.003095,5597,15,9
1,0.033055,0.003073,5713,6,5
1,0.033058,0.003074,5650,8,6
1,0.033028,0.003059,5663,4,4
1,0.033093,0.003091,5646,2,3
1,0.032893,0.002992,5756,2,3
1,0.033142,0.003116,5606,4,4
1,0.033189,0.003140,5586,6,5
1,0.033148,0.003119,5552,4,4
1,0.033288,0.003189,5510,4,4
1,0.033267,0.003179,5629,4,4
1,0.033312,0.003201,5530,4,4
1,0.033167,0.003129,5639,5,4
1,0.033184,0.003137,5645,4,4
1,0.033419,0.003254,5650,4,4
1,0.033465,0.003277,5578,4,4
1,0.034783,0.003937,5704,2,3
1,0.033685,0.003388,5897,6,5
1,0.033473,0.003281,5730,8,6
1,0.033275,0.003183,5605,4,4
1,0.033149,0.003119,5634,4,4
1,0.033055,0.003072,5554,2,3
1,0.033198,0.003144,5621,0,0
1,0.033359,0.003225,5581,4,4
1,0.033095,0.003093,5616,8,6
1,0.033225,0.003158,5663,6,5
1,0.033148,0.003119,5700,6,5
1,0.033387,0.003239,5661,4,4
1,0.033356,0.003223,5709,4,4
1,0.033331,0.003210,5939,2,3
